000194, Label_V_37, [69, 121, 383, 900], /images/V_aircraft_carrier/a1c42d1408384bc09948338622404cb3.jpg
000195, Label_V_37, [27, 15, 318, 516], /images/V_aircraft_carrier/b43317b835dbdf2cec45aabcae305008.jpg
000196, Label_V_37, [36, 56, 372, 577], /images/V_aircraft_carrier/911d67c05f5503c9b6258e3a68524a9e.jpg
000197, Label_V_37, [0, 0, 654, 1024], /images/V_aircraft_carrier/ca43fea209c0947d972a7af6d64a1a07.jpg
000198, Label_V_37, [151, 182, 1938, 2771], /images/V_aircraft_carrier/2683892dfff7e6999a31159877f05fdf.jpg
000199, Label_V_37, [3, 0, 306, 455], /images/V_aircraft_carrier/e2134f1a6e6faa8d3545dd97c1aa305f.jpg
000200, Label_V_37, [29, 55, 284, 456], /images/V_aircraft_carrier/2d8aa67717bc3249dcd1b824474a34a5.jpg
000201, Label_V_37, [80, 55, 542, 1175], /images/V_aircraft_carrier/d3d38ae1cb4da0d0df8de206a75f6be5.jpg
000202, Label_V_37, [128, 160, 410, 756], /images/V_aircraft_carrier/902632ad46539f535e382f79314cc336.jpg
000203, Label_V_37, [265, 77, 478, 878], /images/V_aircraft_carrier/91e81baccff3b6a0170186351386c1ce.jpg
000204, Label_V_37, [269, 0, 951, 1600], /images/V_aircraft_carrier/95b65c47e1be0bb3a299e6dc70d07d67.jpg
000205, Label_V_37, [4, 55, 441, 378], /images/V_aircraft_carrier/2ad26e8288b9e5ec7daac7f1a74fb771.jpg
000206, Label_V_37, [216, 119, 716, 1154], /images/V_aircraft_carrier/3bc83d5a4257f89d5ba64f2ea0761169.jpg
000207, Label_V_37, [64, 33, 289, 541], /images/V_aircraft_carrier/46941148a6109bd0bb9fb85ed6a0a822.jpg
000208, Label_V_37, [146, 132, 334, 433], /images/V_aircraft_carrier/2d7bdf84809300d8111900bddeb7b5a3.jpg
000209, Label_V_37, [7, 16, 401, 627], /images/V_aircraft_carrier/47f87cdec211fb0896ec17de9fe1dafe.jpg
000210, Label_V_37, [137, 127, 535, 684], /images/V_aircraft_carrier/62947dea0b9a43208f9009b161c8cf53.jpg
000211, Label_V_37, [20, 144, 471, 653], /images/V_aircraft_carrier/46bc658dd29a1d6ea1d3b3c96fd55c38.jpg
000212, Label_V_37, [24, 14, 309, 587], /images/V_aircraft_carrier/75c75f11823f23d9f93e8283b694a18b.jpg
